SKU,Stock levels,Lead times,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates
SKU0,58,7,215,29,46.27987924050832,Pending,0.2264103608499251
SKU1,53,30,517,30,33.61676895373,Pending,4.854068026388706
SKU2,1,10,971,27,30.688019348284204,Pending,4.580592619199229
SKU3,23,13,937,18,35.62474139712503,Fail,4.74664862064775
SKU4,5,3,414,3,92.06516059871284,Fail,3.145579522833002
SKU5,90,27,104,17,56.7664755574318,Fail,2.7791935115711617
SKU6,11,15,314,24,1.0850685695870688,Pending,1.0009106193041355
SKU7,93,17,564,1,99.46610860359912,Fail,0.3981771868506506
SKU8,5,10,769,8,11.423027139565695,Pending,2.709862691109961
SKU9,14,27,963,23,47.95760163495158,Pending,3.844614478767585
SKU10,51,13,830,5,96.52735278531092,Pass,1.7273139283559424
SKU11,46,23,362,11,27.592363086663696,Pending,0.0211698213729943
SKU12,100,30,563,3,32.32128621342403,Fail,2.161253747555912
SKU13,80,8,173,10,97.82905011017328,Pending,1.6310742300715386
SKU14,54,29,558,14,5.791436629862989,Pending,0.1006828515650937
SKU15,9,8,580,7,97.12128175147431,Pass,2.264405761198549
SKU16,2,5,399,21,77.10634249785001,Pass,1.012563089258049
SKU17,45,17,453,16,47.679680368355335,Fail,0.1020207549181761
SKU18,10,10,374,17,27.10798085484392,Pending,2.231939110729264
SKU19,48,11,694,16,82.37332058799021,Fail,3.646450865417029
SKU20,27,12,309,6,65.68625960848863,Pass,4.231416573534539
SKU21,69,25,791,4,61.73572895416093,Pending,0.0186075676310149
SKU22,71,1,780,28,50.12083961297735,Fail,2.591275473211116
SKU23,84,5,568,29,98.60995724270389,Pending,1.342291562722734
SKU24,4,26,447,3,40.382359702924816,Pending,3.691310292628728
SKU25,82,11,934,23,78.28038311841539,Pending,3.797231217114183
SKU26,59,16,171,4,15.97222975718176,Pass,2.119319736724923
SKU27,47,9,291,4,10.528245070042162,Fail,2.864667837883373
SKU28,48,15,171,7,59.42938181069157,Fail,0.815757079295672
SKU29,45,5,329,7,39.29287558606575,Pass,3.878098936588488
SKU30,60,26,806,30,51.63489340010933,Pending,0.9653947053523932
SKU31,6,17,461,8,60.25114566159808,Pending,2.9890000066550746
SKU32,89,13,737,7,29.69246715374977,Pass,1.946036119386113
SKU33,4,17,251,23,23.853427512896133,Fail,3.541046012250923
SKU34,1,26,452,10,10.754272815029331,Pass,0.6466045593720549
SKU35,42,27,367,2,58.004787044743765,Pass,0.5411540980605811
SKU36,18,23,671,19,45.531364237162144,Fail,3.8055333792433537
SKU37,25,8,867,15,34.34327746507538,Pending,2.610288084848113
SKU38,69,1,841,12,5.930693645528318,Pending,0.6133268991645074
SKU39,78,29,791,6,9.005807428781642,Fail,1.451972203996816
SKU40,90,20,793,1,88.17940710421746,Pending,4.213269430586566
SKU41,64,19,892,7,95.3320645487725,Fail,0.0453022623982596
SKU42,22,27,179,7,96.42282063957188,Fail,4.939255288620948
SKU43,36,29,206,23,26.27736595733241,Pending,0.3723047679850977
SKU44,13,19,834,18,22.554106620887744,Fail,2.962626320454882
SKU45,93,7,794,25,66.31254443999165,Pass,3.219604612084106
SKU46,92,29,870,23,77.32235321105162,Pending,3.6486105925362033
SKU47,4,15,964,20,19.712992911293647,Pending,0.3805735867132137
SKU48,30,16,109,18,23.126363582464776,Fail,1.6981125407144038
SKU49,97,24,177,28,14.147815443979216,Pass,2.825813985400132
SKU50,31,23,306,21,45.17875792463452,Fail,4.754800804671185
SKU51,100,4,673,28,14.19032834456998,Pending,1.7729511720835571
SKU52,64,11,727,27,9.166849148597151,Pending,2.1224716191438247
SKU53,96,25,631,17,83.34405899167797,Pending,1.4103475760760271
SKU54,33,22,497,29,30.186023375822508,Pass,2.478771975539748
SKU55,97,11,918,5,30.3235452566165,Fail,4.548919659396385
SKU56,25,23,826,28,12.836284572832753,Pass,1.173755495387454
SKU57,5,18,588,25,67.77962298707814,Pending,2.511174830212707
SKU58,10,5,396,7,65.04741509469146,Fail,1.7303747198591968
SKU59,100,16,176,4,1.900762243519458,Fail,0.4471940154638232
SKU60,41,27,929,24,87.21305781513568,Fail,2.853090616649054
SKU61,32,23,480,12,78.7023939688789,Fail,4.367470538205053
SKU62,86,2,751,14,21.048642725168644,Pass,1.8740014040443749
SKU63,54,19,736,10,20.075003975630484,Pending,3.6328432903821337
SKU64,73,27,328,6,8.693042425877287,Fail,0.1594863147175146
SKU65,57,24,358,21,1.5972227430506774,Fail,4.911095954842331
SKU66,13,17,867,28,42.08443673830996,Fail,3.4480632883402618
SKU67,12,9,198,11,7.057876146978231,Pass,0.1319554443118148
SKU68,0,8,375,18,97.1135815634622,Fail,1.98346787217418
SKU69,95,1,862,7,77.62776581274817,Pending,1.3623879886491086
